Instância,Dados Iniciais,Diagnóstico Inicial,Diagnóstico do Modelo,Contribuições
53,"{'Temperature': 23.3, 'Humidity': 50.4, 'PM2.5': 6.4, 'PM10': 13.100000000000001, 'NO2': 26.7, 'SO2': 3.8, 'CO': 1.13, 'Proximity_to_Industrial_Areas': 12.3, 'Population_Density': 237.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03858528884466464, 'Population_Density <= -0.75': -0.03790348909855755, 'Humidity <= -0.74': -0.02617733797718549, '-0.86 < CO <= -0.17': -0.02586686254056743, '-0.63 < PM2.5 <= -0.33': 0.02104857014314514}"
54,"{'Temperature': 22.2, 'Humidity': 61.2, 'PM2.5': 2.3999999999999986, 'PM10': 5.800000000000001, 'NO2': 21.6, 'SO2': 3.8, 'CO': 1.13, 'Proximity_to_Industrial_Areas': 11.5, 'Population_Density': 459.0}",Good,Good,"{'PM10 <= -0.65': -0.04235012444672074, 'Temperature <= -0.73': -0.024554402790426318, '-0.86 < CO <= -0.17': -0.02322204760092438, '-0.75 < Population_Density <= -0.02': -0.01779118563179449, 'PM2.5 <= -0.63': 0.017267245961363253}"
55,"{'Temperature': 22.3, 'Humidity': 41.6, 'PM2.5': 11.6, 'PM10': 16.2, 'NO2': 15.3, 'SO2': 2.1000000000000005, 'CO': 1.04, 'Proximity_to_Industrial_Areas': 12.2, 'Population_Density': 236.0}",Good,Good,"{'Population_Density <= -0.75': -0.033822889140376323, '-0.65 < PM10 <= -0.31': -0.03375077153696983, 'Humidity <= -0.74': -0.025884502135571846, 'Temperature <= -0.73': -0.02148556579514969, 'SO2 <= -0.73': -0.018721589735271615}"
56,"{'Temperature': 32.3, 'Humidity': 76.8, 'PM2.5': 19.1, 'PM10': 38.4, 'NO2': 23.9, 'SO2': 12.6, 'CO': 1.69, 'Proximity_to_Industrial_Areas': 6.2, 'Population_Density': 674.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.04817576261318477, '-0.31 < PM10 <= 0.30': -0.033961760574053534, '-0.17 < CO <= 0.62': -0.008180347693383428, '-0.71 < NO2 <= -0.14': -0.008127059544097023, '-0.15 < Temperature <= 0.61': 0.006393475870728551}"
57,"{'Temperature': 39.9, 'Humidity': 112.1, 'PM2.5': 37.2, 'PM10': 54.7, 'NO2': 50.8, 'SO2': 21.8, 'CO': 2.58, 'Proximity_to_Industrial_Areas': 2.8, 'Population_Density': 556.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.12905659013166978, 'CO > 0.62': 0.07134461941674115, 'PM2.5 > 0.25': -0.043717965592624794, 'Proximity_to_Industrial_Areas <= -0.84': 0.038186438914627106, 'SO2 > 0.55': 0.03644744225828206}"
58,"{'Temperature': 31.0, 'Humidity': 57.1, 'PM2.5': 22.1, 'PM10': 27.2, 'NO2': 35.5, 'SO2': 8.1, 'CO': 1.54, 'Proximity_to_Industrial_Areas': 8.5, 'Population_Density': 713.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.03843340220326065, 'NO2 > 0.61': 0.03828570554896985, '-0.31 < PM10 <= 0.30': -0.034067106712904124, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.02382260456487247, 'Humidity <= -0.74': -0.020906201720860478}"
59,"{'Temperature': 32.0, 'Humidity': 48.9, 'PM2.5': 14.9, 'PM10': 36.0, 'NO2': 29.4, 'SO2': 27.4, 'CO': 2.41, 'Proximity_to_Industrial_Areas': 3.9000000000000004, 'Population_Density': 697.0}",Poor,Poor,"{'CO > 0.62': 0.05152917722481264, 'Population_Density > 0.68': 0.04388340832673037, 'Proximity_to_Industrial_Areas <= -0.84': 0.03186271091541982, '-0.31 < PM10 <= 0.30': -0.028445081189391427, 'SO2 > 0.55': 0.02608442324216485}"
60,"{'Temperature': 30.3, 'Humidity': 78.9, 'PM2.5': 5.199999999999999, 'PM10': 8.600000000000001, 'NO2': 12.5, 'SO2': 6.6, 'CO': 0.78, 'Proximity_to_Industrial_Areas': 11.0, 'Population_Density': 403.0}",Good,Good,"{'PM10 <= -0.65': -0.041931280709759926, 'CO <= -0.86': -0.030058009877326732, '-0.75 < Population_Density <= -0.02': -0.019505289446848827, '-0.63 < PM2.5 <= -0.33': 0.015479472097947448, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.012704321335016294}"
61,"{'Temperature': 24.7, 'Humidity': 65.4, 'PM2.5': 0.0, 'PM10': 2.3000000000000043, 'NO2': 21.9, 'SO2': 3.9000000000000004, 'CO': 0.99, 'Proximity_to_Industrial_Areas': 13.7, 'Population_Density': 410.0}",Good,Good,"{'PM10 <= -0.65': -0.03839696654917162, 'CO <= -0.86': -0.028212600503320653, 'SO2 <= -0.73': -0.01856839952133286, 'PM2.5 <= -0.63': 0.01576091264600014, 'Proximity_to_Industrial_Areas > 0.74': -0.013279890911562077}"
62,"{'Temperature': 21.7, 'Humidity': 57.9, 'PM2.5': 14.7, 'PM10': 20.7, 'NO2': 13.6, 'SO2': 5.3, 'CO': 0.92, 'Proximity_to_Industrial_Areas': 10.3, 'Population_Density': 338.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.034959977802165254, 'Population_Density <= -0.75': -0.03221824924453951, 'CO <= -0.86': -0.02739769384247532, 'Humidity <= -0.74': -0.023700708890129246, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.01782718960505954}"
63,"{'Temperature': 25.1, 'Humidity': 74.2, 'PM2.5': 8.1, 'PM10': 10.7, 'NO2': 20.2, 'SO2': 5.8, 'CO': 1.01, 'Proximity_to_Industrial_Areas': 13.6, 'Population_Density': 341.0}",Good,Good,"{'PM10 <= -0.65': -0.04152170716398578, 'Population_Density <= -0.75': -0.03333849568781005, 'CO <= -0.86': -0.029663895983308798, '-0.63 < PM2.5 <= -0.33': 0.013794499217717835, 'Temperature <= -0.73': -0.013661926714272266}"
64,"{'Temperature': 30.5, 'Humidity': 70.7, 'PM2.5': 23.4, 'PM10': 30.5, 'NO2': 32.8, 'SO2': 10.8, 'CO': 1.49, 'Proximity_to_Industrial_Areas': 7.5, 'Population_Density': 466.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.03068014916464562, 'NO2 > 0.61': 0.026920173872854895, '-0.75 < Population_Density <= -0.02': -0.016883539586487917, '-0.01 < Humidity <= 0.65': 0.014519390911779931, '-0.29 < SO2 <= 0.55': -0.010385574840042421}"
65,"{'Temperature': 24.6, 'Humidity': 48.4, 'PM2.5': 8.3, 'PM10': 15.4, 'NO2': 23.3, 'SO2': 4.6, 'CO': 1.03, 'Proximity_to_Industrial_Areas': 11.2, 'Population_Density': 461.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03634399799407291, 'CO <= -0.86': -0.02932927220615548, 'Humidity <= -0.74': -0.025570807140262556, 'Temperature <= -0.73': -0.017496531245456214, '-0.75 < Population_Density <= -0.02': -0.016206871063296362}"
66,"{'Temperature': 36.2, 'Humidity': 73.7, 'PM2.5': 9.6, 'PM10': 32.4, 'NO2': 41.4, 'SO2': 25.5, 'CO': 1.97, 'Proximity_to_Industrial_Areas': 10.0, 'Population_Density': 782.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.06342157405765805, 'Population_Density > 0.68': 0.04402824137474869, 'NO2 > 0.61': 0.03026196095210584, '-0.31 < PM10 <= 0.30': -0.027264922793029008, 'Temperature > 0.61': 0.023884771224957045}"
67,"{'Temperature': 37.1, 'Humidity': 70.6, 'PM2.5': 9.6, 'PM10': 28.2, 'NO2': 33.2, 'SO2': 5.2, 'CO': 2.49, 'Proximity_to_Industrial_Areas': 3.7, 'Population_Density': 711.0}",Poor,Poor,"{'CO > 0.62': 0.04898713858758514, 'Population_Density > 0.68': 0.04394938693984691, 'Proximity_to_Industrial_Areas <= -0.84': 0.03274729784843192, '-0.31 < PM10 <= 0.30': -0.03172780982783377, 'NO2 > 0.61': 0.026681670062017115}"
68,"{'Temperature': 31.8, 'Humidity': 59.8, 'PM2.5': 25.6, 'PM10': 30.9, 'NO2': 18.7, 'SO2': 4.6, 'CO': 1.09, 'Proximity_to_Industrial_Areas': 10.1, 'Population_Density': 326.0}",Good,Good,"{'Population_Density <= -0.75': -0.03276249146144871, '-0.31 < PM10 <= 0.30': -0.029398532196443887, '-0.86 < CO <= -0.17': -0.02351267808577548, 'SO2 <= -0.73': -0.014673855436447572, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.01368944516987837}"
69,"{'Temperature': 31.2, 'Humidity': 63.7, 'PM2.5': 24.8, 'PM10': 34.8, 'NO2': 28.0, 'SO2': 5.7, 'CO': 1.43, 'Proximity_to_Industrial_Areas': 7.3, 'Population_Density': 616.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.04491405435217252, '-0.31 < PM10 <= 0.30': -0.041123035844322496, '-0.73 < SO2 <= -0.29': -0.015426626966868416, '-0.84 < Proximity_to_Industrial_Areas <= -0.15': -0.01269265800155775, '-0.74 < Humidity <= -0.01': -0.010250708211785158}"
70,"{'Temperature': 30.1, 'Humidity': 86.2, 'PM2.5': 18.7, 'PM10': 27.7, 'NO2': 33.4, 'SO2': 9.3, 'CO': 1.57, 'Proximity_to_Industrial_Areas': 5.0, 'Population_Density': 479.0}",Moderate,Moderate,"{'Humidity > 0.65': 0.03752631491098636, 'Proximity_to_Industrial_Areas <= -0.84': 0.03515946865312668, 'NO2 > 0.61': 0.025285773970942116, '-0.31 < PM10 <= 0.30': -0.02326979437002547, '-0.75 < Population_Density <= -0.02': -0.02050342314503284}"
71,"{'Temperature': 25.0, 'Humidity': 61.8, 'PM2.5': 4.4, 'PM10': 11.0, 'NO2': 26.4, 'SO2': 3.4000000000000004, 'CO': 1.05, 'Proximity_to_Industrial_Areas': 11.5, 'Population_Density': 397.0}",Good,Good,"{'PM10 <= -0.65': -0.04316243085265465, '-0.86 < CO <= -0.17': -0.025664800631844214, 'PM2.5 <= -0.63': 0.022881768048033817, 'SO2 <= -0.73': -0.018989178261368863, 'Temperature <= -0.73': -0.018110172235240453}"
72,"{'Temperature': 25.5, 'Humidity': 73.4, 'PM2.5': 13.8, 'PM10': 21.4, 'NO2': 25.7, 'SO2': 3.8, 'CO': 0.95, 'Proximity_to_Industrial_Areas': 11.0, 'Population_Density': 194.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03940658637028522, 'Population_Density <= -0.75': -0.03460665104977362, 'CO <= -0.86': -0.025884636297410255, 'SO2 <= -0.73': -0.01242919281400984, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.012205584037966316}"
73,"{'Temperature': 34.5, 'Humidity': 86.1, 'PM2.5': 9.0, 'PM10': 21.6, 'NO2': 39.1, 'SO2': 7.5, 'CO': 1.79, 'Proximity_to_Industrial_Areas': 5.2, 'Population_Density': 450.0}",Moderate,Poor,"{'-0.65 < PM10 <= -0.31': -0.04110284870713706, 'NO2 > 0.61': 0.026377388228907468, 'Temperature > 0.61': 0.026284627204951838, 'Proximity_to_Industrial_Areas <= -0.84': 0.023692502115684536, '-0.75 < Population_Density <= -0.02': -0.017575434316853083}"
74,"{'Temperature': 20.3, 'Humidity': 66.8, 'PM2.5': 18.9, 'PM10': 21.1, 'NO2': 25.5, 'SO2': 5.0, 'CO': 0.96, 'Proximity_to_Industrial_Areas': 11.3, 'Population_Density': 416.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03615871869357595, 'CO <= -0.86': -0.026602287742011232, 'Temperature <= -0.73': -0.019738845862876324, 'SO2 <= -0.73': -0.018225776349862655, '-0.75 < Population_Density <= -0.02': -0.014980092641657927}"
75,"{'Temperature': 26.1, 'Humidity': 83.8, 'PM2.5': 33.2, 'PM10': 36.9, 'NO2': 23.6, 'SO2': 2.7, 'CO': 0.82, 'Proximity_to_Industrial_Areas': 19.1, 'Population_Density': 310.0}",Good,Good,"{'Population_Density <= -0.75': -0.035450175792615134, 'PM2.5 > 0.25': -0.03485787575692729, '-0.31 < PM10 <= 0.30': -0.03033903825861351, 'Humidity > 0.65': 0.02876079622595191, 'CO <= -0.86': -0.0254295777258896}"
76,"{'Temperature': 32.6, 'Humidity': 67.2, 'PM2.5': 45.4, 'PM10': 61.4, 'NO2': 27.4, 'SO2': 5.2, 'CO': 1.43, 'Proximity_to_Industrial_Areas': 7.2, 'Population_Density': 470.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.11233957238924853, 'PM2.5 > 0.25': -0.039472680367865665, '-0.73 < SO2 <= -0.29': -0.014541308943667713, '-0.75 < Population_Density <= -0.02': -0.01139919651191037, '-0.84 < Proximity_to_Industrial_Areas <= -0.15': -0.009402833318597906}"
77,"{'Temperature': 27.5, 'Humidity': 69.6, 'PM2.5': 23.3, 'PM10': 31.1, 'NO2': 37.9, 'SO2': 9.4, 'CO': 1.57, 'Proximity_to_Industrial_Areas': 7.5, 'Population_Density': 505.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.034965690948044435, 'NO2 > 0.61': 0.029302149882892536, '-0.74 < Humidity <= -0.01': -0.010153892605701846, '-0.73 < Temperature <= -0.15': -0.0063519681076315455, '-0.02 < Population_Density <= 0.68': 0.00559544462835556}"
78,"{'Temperature': 33.7, 'Humidity': 91.2, 'PM2.5': 17.2, 'PM10': 29.0, 'NO2': 25.1, 'SO2': 12.0, 'CO': 1.43, 'Proximity_to_Industrial_Areas': 6.3, 'Population_Density': 505.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.029169965876638775, 'Humidity > 0.65': 0.027942456939312552, '-0.71 < NO2 <= -0.14': -0.014521473641228043, '-0.02 < Population_Density <= 0.68': 0.01384010109393032, '-0.17 < CO <= 0.62': -0.0107816849017928}"
79,"{'Temperature': 21.8, 'Humidity': 47.6, 'PM2.5': 24.3, 'PM10': 32.4, 'NO2': 21.5, 'SO2': 7.5, 'CO': 0.96, 'Proximity_to_Industrial_Areas': 10.8, 'Population_Density': 428.0}",Good,Good,"{'-0.31 < PM10 <= 0.30': -0.033206629846522125, 'CO <= -0.86': -0.02900660059735741, 'Humidity <= -0.74': -0.024266864719986993, '-0.75 < Population_Density <= -0.02': -0.018622493767358427, 'Temperature <= -0.73': -0.01753301586095119}"
80,"{'Temperature': 22.9, 'Humidity': 79.0, 'PM2.5': 21.3, 'PM10': 29.3, 'NO2': 20.7, 'SO2': 6.0, 'CO': 0.98, 'Proximity_to_Industrial_Areas': 10.2, 'Population_Density': 588.0}",Good,Good,"{'-0.31 < PM10 <= 0.30': -0.023284153078887964, 'CO <= -0.86': -0.02296627968612185, 'Temperature <= -0.73': -0.013934542344065767, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.013047964110219867, '-0.71 < NO2 <= -0.14': -0.00881211932069192}"
81,"{'Temperature': 23.0, 'Humidity': 70.8, 'PM2.5': 1.1999999999999993, 'PM10': 5.800000000000001, 'NO2': 22.1, 'SO2': 6.7, 'CO': 0.88, 'Proximity_to_Industrial_Areas': 12.7, 'Population_Density': 266.0}",Good,Good,"{'PM10 <= -0.65': -0.040009697661351186, 'Population_Density <= -0.75': -0.03138842969913729, 'CO <= -0.86': -0.03073882926255524, 'PM2.5 <= -0.63': 0.025179409997817634, 'Temperature <= -0.73': -0.020421452248633114}"
82,"{'Temperature': 56.0, 'Humidity': 53.6, 'PM2.5': 6.0, 'PM10': 21.7, 'NO2': 40.5, 'SO2': 9.1, 'CO': 2.46, 'Proximity_to_Industrial_Areas': 9.0, 'Population_Density': 718.0}",Poor,Hazardous,"{'CO > 0.62': 0.06163162491967159, 'Population_Density > 0.68': 0.05313611493037949, '-0.65 < PM10 <= -0.31': -0.03883093705749288, 'Temperature > 0.61': 0.03530216955214791, 'NO2 > 0.61': 0.03184174312688748}"
83,"{'Temperature': 31.6, 'Humidity': 74.8, 'PM2.5': 28.5, 'PM10': 45.8, 'NO2': 25.4, 'SO2': 16.3, 'CO': 2.29, 'Proximity_to_Industrial_Areas': 4.699999999999999, 'Population_Density': 782.0}",Poor,Poor,"{'PM10 > 0.30': 0.12927727610057968, 'CO > 0.62': 0.07667350300736435, 'Population_Density > 0.68': 0.049203857710507524, 'PM2.5 > 0.25': -0.040783665360128486, 'SO2 > 0.55': 0.03275852108843182}"
84,"{'Temperature': 28.8, 'Humidity': 64.9, 'PM2.5': 16.7, 'PM10': 27.9, 'NO2': 11.700000000000001, 'SO2': 5.6, 'CO': 0.85, 'Proximity_to_Industrial_Areas': 10.9, 'Population_Density': 562.0}",Good,Good,"{'-0.31 < PM10 <= 0.30': -0.03755169408995022, 'CO <= -0.86': -0.03210210378407695, '-0.02 < Population_Density <= 0.68': 0.015853615616850177, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.013345532640718112, '-0.74 < Humidity <= -0.01': -0.013031438684631427}"
85,"{'Temperature': 30.2, 'Humidity': 71.7, 'PM2.5': 18.3, 'PM10': 29.4, 'NO2': 16.1, 'SO2': 8.9, 'CO': 1.48, 'Proximity_to_Industrial_Areas': 5.5, 'Population_Density': 479.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.03205865225452395, 'NO2 <= -0.71': -0.020599877687862745, '-0.75 < Population_Density <= -0.02': -0.017148870881131147, '-0.01 < Humidity <= 0.65': 0.007520531359538592, '-0.17 < CO <= 0.62': -0.005870383375714672}"
86,"{'Temperature': 30.4, 'Humidity': 78.9, 'PM2.5': 17.5, 'PM10': 30.8, 'NO2': 26.1, 'SO2': 7.9, 'CO': 1.39, 'Proximity_to_Industrial_Areas': 6.3, 'Population_Density': 608.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.037276667309552695, '-0.86 < CO <= -0.17': -0.028407192894394695, '-0.31 < PM10 <= 0.30': -0.026273962147589147, '-0.73 < SO2 <= -0.29': -0.00970675657020854, '-0.14 < NO2 <= 0.61': -0.008398505009261705}"
87,"{'Temperature': 42.3, 'Humidity': 70.3, 'PM2.5': 22.5, 'PM10': 33.9, 'NO2': 32.1, 'SO2': 22.0, 'CO': 2.82, 'Proximity_to_Industrial_Areas': 9.5, 'Population_Density': 672.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.05928853769055141, 'Population_Density > 0.68': 0.046291128518619926, '-0.31 < PM10 <= 0.30': -0.032766193303312666, 'Temperature > 0.61': 0.03266904685202012, 'SO2 > 0.55': 0.02960580391346122}"
88,"{'Temperature': 29.6, 'Humidity': 74.8, 'PM2.5': 15.3, 'PM10': 28.4, 'NO2': 20.2, 'SO2': 10.4, 'CO': 1.45, 'Proximity_to_Industrial_Areas': 5.6, 'Population_Density': 373.0}",Moderate,Moderate,"{'Population_Density <= -0.75': -0.03739688607084229, '-0.31 < PM10 <= 0.30': -0.02927403639325381, '-0.71 < NO2 <= -0.14': -0.013929022716587967, '-0.17 < CO <= 0.62': -0.00763469611389082, '-0.84 < Proximity_to_Industrial_Areas <= -0.15': -0.0075195051035874625}"
89,"{'Temperature': 30.7, 'Humidity': 54.4, 'PM2.5': 1.5, 'PM10': 8.899999999999999, 'NO2': 21.6, 'SO2': 11.2, 'CO': 1.73, 'Proximity_to_Industrial_Areas': 5.6, 'Population_Density': 565.0}",Moderate,Moderate,"{'PM10 <= -0.65': -0.04353336835424959, 'Humidity <= -0.74': -0.03417648322393335, 'PM2.5 <= -0.63': 0.02942716857489818, '-0.71 < NO2 <= -0.14': -0.011901512234732011, '-0.02 < Population_Density <= 0.68': 0.010186257833338564}"
90,"{'Temperature': 31.5, 'Humidity': 67.4, 'PM2.5': 36.0, 'PM10': 49.0, 'NO2': 48.1, 'SO2': 14.3, 'CO': 2.34, 'Proximity_to_Industrial_Areas': 4.2, 'Population_Density': 799.0}",Poor,Hazardous,"{'PM10 > 0.30': 0.12741542268938807, 'CO > 0.62': 0.06243722748791737, 'Population_Density > 0.68': 0.05738266918840379, 'PM2.5 > 0.25': -0.04543498116883922, 'Proximity_to_Industrial_Areas <= -0.84': 0.04374712112959132}"
91,"{'Temperature': 30.8, 'Humidity': 81.0, 'PM2.5': 11.7, 'PM10': 27.0, 'NO2': 21.7, 'SO2': 6.0, 'CO': 1.73, 'Proximity_to_Industrial_Areas': 9.4, 'Population_Density': 443.0}",Moderate,Moderate,"{'Humidity > 0.65': 0.028976530149576105, '-0.31 < PM10 <= 0.30': -0.02589181353654052, '-0.75 < Population_Density <= -0.02': -0.01628316977859332, '-0.71 < NO2 <= -0.14': -0.015141590833389947, '-0.63 < PM2.5 <= -0.33': 0.01436487299631878}"
92,"{'Temperature': 27.1, 'Humidity': 50.4, 'PM2.5': 45.6, 'PM10': 51.1, 'NO2': 14.3, 'SO2': 6.4, 'CO': 1.1, 'Proximity_to_Industrial_Areas': 10.3, 'Population_Density': 371.0}",Good,Good,"{'PM10 > 0.30': 0.09609330767421073, 'PM2.5 > 0.25': -0.03444801026464725, 'Population_Density <= -0.75': -0.03405290218893375, '-0.86 < CO <= -0.17': -0.024248230090556558, 'Humidity <= -0.74': -0.024093056953829767}"
93,"{'Temperature': 23.0, 'Humidity': 44.6, 'PM2.5': 23.1, 'PM10': 28.1, 'NO2': 16.2, 'SO2': 9.0, 'CO': 0.95, 'Proximity_to_Industrial_Areas': 10.0, 'Population_Density': 437.0}",Good,Good,"{'-0.31 < PM10 <= 0.30': -0.02903886836602329, 'Humidity <= -0.74': -0.025311139476970952, 'CO <= -0.86': -0.024711838774035932, 'Temperature <= -0.73': -0.018049817639836905, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.016562567483246998}"
94,"{'Temperature': 33.3, 'Humidity': 73.1, 'PM2.5': 21.6, 'PM10': 33.1, 'NO2': 44.5, 'SO2': 7.4, 'CO': 1.98, 'Proximity_to_Industrial_Areas': 8.8, 'Population_Density': 723.0}",Poor,Poor,"{'CO > 0.62': 0.05860286872813577, 'Population_Density > 0.68': 0.054565219687753394, '-0.31 < PM10 <= 0.30': -0.03507990191011549, 'NO2 > 0.61': 0.02557924071463001, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.02250928866964232}"
95,"{'Temperature': 32.6, 'Humidity': 58.9, 'PM2.5': 30.8, 'PM10': 38.8, 'NO2': 30.9, 'SO2': 17.5, 'CO': 1.85, 'Proximity_to_Industrial_Areas': 4.9, 'Population_Density': 448.0}",Poor,Poor,"{'PM10 > 0.30': 0.10425132822742039, 'CO > 0.62': 0.06775631538821345, 'PM2.5 > 0.25': -0.039422069600872446, 'SO2 > 0.55': 0.02639356601703043, 'Proximity_to_Industrial_Areas <= -0.84': 0.021599438095176077}"
96,"{'Temperature': 31.9, 'Humidity': 80.5, 'PM2.5': 10.3, 'PM10': 18.2, 'NO2': 29.1, 'SO2': 17.2, 'CO': 1.72, 'Proximity_to_Industrial_Areas': 5.2, 'Population_Density': 373.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.042773278248718793, 'Population_Density <= -0.75': -0.03923888569484151, 'Proximity_to_Industrial_Areas <= -0.84': 0.03169126046378693, 'SO2 > 0.55': 0.02858674285155818, 'Humidity > 0.65': 0.021871789855790805}"
97,"{'Temperature': 24.0, 'Humidity': 68.7, 'PM2.5': 18.6, 'PM10': 31.1, 'NO2': 30.6, 'SO2': 7.3, 'CO': 1.44, 'Proximity_to_Industrial_Areas': 6.0, 'Population_Density': 588.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.028656763247482404, 'Temperature <= -0.73': -0.015360711526226378, '-0.73 < SO2 <= -0.29': -0.010680030344354025, '-0.02 < Population_Density <= 0.68': 0.010071141870647966, '-0.17 < CO <= 0.62': -0.009650338178950625}"
98,"{'Temperature': 25.0, 'Humidity': 41.5, 'PM2.5': 3.8999999999999986, 'PM10': 8.100000000000001, 'NO2': 14.3, 'SO2': 4.4, 'CO': 0.83, 'Proximity_to_Industrial_Areas': 12.0, 'Population_Density': 333.0}",Good,Good,"{'PM10 <= -0.65': -0.042825882778240114, 'Population_Density <= -0.75': -0.040693573665117756, 'Humidity <= -0.74': -0.03433287327443754, 'CO <= -0.86': -0.033836018332970966, 'Temperature <= -0.73': -0.022552678708695817}"
99,"{'Temperature': 35.7, 'Humidity': 49.1, 'PM2.5': 18.1, 'PM10': 26.5, 'NO2': 29.1, 'SO2': 13.4, 'CO': 2.24, 'Proximity_to_Industrial_Areas': 3.9000000000000004, 'Population_Density': 649.0}",Poor,Poor,"{'CO > 0.62': 0.05194974875283335, 'Population_Density > 0.68': 0.0411240160941461, 'Proximity_to_Industrial_Areas <= -0.84': 0.03119745822404014, '-0.31 < PM10 <= 0.30': -0.030131685310222894, 'Humidity <= -0.74': -0.02574846103510853}"
100,"{'Temperature': 24.9, 'Humidity': 63.5, 'PM2.5': 6.1, 'PM10': 13.899999999999999, 'NO2': 17.2, 'SO2': 4.3, 'CO': 1.18, 'Proximity_to_Industrial_Areas': 16.4, 'Population_Density': 390.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03878463252682677, 'Proximity_to_Industrial_Areas > 0.74': -0.0161237917215644, 'Temperature <= -0.73': -0.014747226659610695, '-0.86 < CO <= -0.17': -0.014100403876486353, '-0.63 < PM2.5 <= -0.33': 0.013843305486908234}"
101,"{'Temperature': 49.2, 'Humidity': 81.8, 'PM2.5': 89.9, 'PM10': 113.7, 'NO2': 48.6, 'SO2': 21.6, 'CO': 1.97, 'Proximity_to_Industrial_Areas': 2.7, 'Population_Density': 654.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.12789599277239458, 'CO > 0.62': 0.0653514611315043, 'Population_Density > 0.68': 0.058034002465160446, 'SO2 > 0.55': 0.044162233436546836, 'Proximity_to_Industrial_Areas <= -0.84': 0.043540160350953226}"
102,"{'Temperature': 30.0, 'Humidity': 61.7, 'PM2.5': 0.10000000000000142, 'PM10': 15.599999999999998, 'NO2': 19.2, 'SO2': 8.0, 'CO': 1.83, 'Proximity_to_Industrial_Areas': 5.3, 'Population_Density': 529.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.04585708510996668, 'Proximity_to_Industrial_Areas <= -0.84': 0.038836370007869554, 'PM2.5 <= -0.63': 0.025489294893586308, 'NO2 <= -0.71': -0.022378880265649805, '-0.02 < Population_Density <= 0.68': 0.01222304517943198}"
103,"{'Temperature': 32.6, 'Humidity': 87.7, 'PM2.5': 59.1, 'PM10': 82.6, 'NO2': 33.7, 'SO2': 9.4, 'CO': 1.7, 'Proximity_to_Industrial_Areas': 5.1, 'Population_Density': 634.0}",Poor,Poor,"{'PM10 > 0.30': 0.10035183308693568, 'Population_Density > 0.68': 0.048709246523118956, 'PM2.5 > 0.25': -0.03783213046211017, 'Proximity_to_Industrial_Areas <= -0.84': 0.02958741467523258, 'Humidity > 0.65': 0.02617060319963822}"
104,"{'Temperature': 33.6, 'Humidity': 63.7, 'PM2.5': 4.699999999999999, 'PM10': 13.0, 'NO2': 24.8, 'SO2': 2.7, 'CO': 1.46, 'Proximity_to_Industrial_Areas': 6.5, 'Population_Density': 368.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.03656367663755581, 'Population_Density <= -0.75': -0.036247359002819966, 'SO2 <= -0.73': -0.013514696071651046, '-0.63 < PM2.5 <= -0.33': 0.009667528341919036, '-0.17 < CO <= 0.62': -0.007780395362217586}"
